"GSM87863" "GSM87887" "GSM87896" "GSM87934" "GSM87943" "GSM87853" "GSM87906" "GSM87920" "GSM87924" "GSM87858" "GSM87882" "GSM87891" "GSM87917" "GSM87929" "GSM87948" "GSM87868" "GSM87873" "GSM87901" "GSM87910" "GSM87938" "GSM87953" "GSM87864" "GSM87888" "GSM87897" "GSM87935" "GSM87944" "GSM87854" "GSM87878" "GSM87907" "GSM87921" "GSM87925" "GSM87957" "GSM87859" "GSM87883" "GSM87892" "GSM87930" "GSM87949" "GSM87869" "GSM87874" "GSM87902" "GSM87911" "GSM87939" "GSM87954" "GSM87865" "GSM87889" "GSM87898" "GSM87915" "GSM87936" "GSM87945" "GSM87855" "GSM87879" "GSM87922" "GSM87926" "GSM87958" "GSM87860" "GSM87884" "GSM87893" "GSM87918" "GSM87931" "GSM87950" "GSM87870" "GSM87875" "GSM87903" "GSM87912" "GSM87940" "GSM87866" "GSM87899" "GSM87937" "GSM87946" "GSM87856" "GSM87880" "GSM87908" "GSM87923" "GSM87927" "GSM87959" "GSM87861" "GSM87885" "GSM87894" "GSM87932" "GSM87951" "GSM87871" "GSM87876" "GSM87904" "GSM87913" "GSM87941" "GSM87955" "GSM87867" "GSM87890" "GSM87900" "GSM87916" "GSM87947" "GSM87857" "GSM87881" "GSM87909" "GSM87928" "GSM87960" "GSM87862" "GSM87886" "GSM87895" "GSM87919" "GSM87933" "GSM87952" "GSM87872" "GSM87877" "GSM87905" "GSM87914" "GSM87942" "GSM87956"
"6413" "5.85717" "5.82582" "6.2483" "6.25324" "6.17111" "6.32638" "5.90683" "6.04323" "6.03474" "6.16226" "5.94913" "6.24499" "5.81893" "6.45122" "5.82592" "6.12933" "6.13691" "6.01943" "5.75648" "6.55553" "5.73587" "5.89105" "6.02357" "6.21856" "6.10167" "6.0766" "5.95262" "5.97356" "6.40478" "6.4796" "6.27611" "5.95437" "5.87111" "6.07808" "6.06077" "6.3391" "5.89024" "5.95843" "5.92531" "6.21845" "6.08081" "6.29976" "6.25033" "6.17557" "6.15569" "5.98907" "5.98215" "6.27575" "6.07234" "6.18499" "5.99966" "6.3998" "6.1786" "5.92447" "5.83794" "5.67463" "5.92462" "6.0264" "5.87856" "5.74077" "5.6557" "5.60311" "6.20428" "5.88004" "6.20269" "5.95111" "6.03452" "6.28922" "5.79743" "6.05194" "6.09337" "5.95749" "6.23383" "6.14986" "6.13755" "6.05203" "6.32494" "5.89125" "6.28838" "5.97912" "6.13679" "6.12531" "6.16655" "6.03958" "6.23224" "6.01571" "5.96522" "6.04838" "6.09266" "6.21454" "5.86773" "5.99042" "6.2594" "5.9106" "6.014" "5.9816" "6.0929" "5.86025" "5.81066" "6.12868" "6.27707" "5.98531" "5.85842" "5.90418" "5.38837" "6.03778" "6.55728" "5.9927"
"6433" "3.98912" "3.85677" "4.10254" "4.39597" "3.80999" "4.04613" "3.80543" "3.99327" "3.95025" "3.82688" "4.57456" "3.88632" "3.98501" "3.99978" "3.82774" "3.87612" "4.09446" "4.05789" "3.87208" "4.469" "3.86716" "3.91956" "4.05275" "3.87147" "4.13894" "3.70793" "3.84539" "3.92923" "3.75577" "3.83659" "4.19007" "3.58986" "4.04063" "3.8921" "4.09643" "4.16812" "3.75884" "3.77994" "4.35261" "3.92757" "3.97265" "4.25954" "3.77392" "3.79348" "4.07069" "3.70417" "3.93545" "4.14075" "4.18323" "4.00088" "4.06922" "4.44427" "4.11688" "3.80671" "3.82878" "3.815" "3.87872" "4.10784" "4.03185" "3.85431" "3.72646" "4.17133" "3.934" "3.81652" "4.06514" "3.90087" "3.93227" "3.96475" "3.94512" "3.9162" "3.92277" "3.84994" "3.96632" "3.83429" "3.88324" "3.94476" "3.92757" "3.6533" "3.8812" "3.60653" "3.9459" "3.99325" "4.16086" "3.87014" "4.01581" "3.7278" "3.73908" "4.30478" "3.91385" "4.2217" "3.89847" "3.84243" "4.16634" "3.79626" "3.86409" "3.75526" "3.77932" "3.89192" "4.10516" "3.84509" "4.10096" "3.94044" "3.81961" "3.83485" "3.8758" "3.86472" "4.09474" "3.84618"
"6504" "7.55915" "7.60831" "6.61004" "6.74442" "7.1159" "6.98419" "7.20258" "6.84984" "6.5675" "6.85349" "7.13941" "6.23429" "7.98793" "6.60304" "7.65793" "7.82062" "6.13064" "7.07912" "7.46149" "6.76264" "7.69422" "7.81904" "7.4373" "7.41318" "6.87979" "7.74219" "7.56767" "7.50099" "6.99744" "6.44223" "7.35987" "7.59745" "6.89071" "7.34383" "6.653" "6.36213" "8.19053" "7.79213" "6.65639" "7.30066" "6.70741" "6.79524" "7.74114" "7.8079" "7.55172" "8.05676" "7.29178" "7.12222" "7.21675" "7.29284" "7.32794" "6.17996" "7.09665" "7.95633" "7.19224" "7.66005" "6.54005" "7.6938" "6.72371" "8.45289" "7.53451" "7.27127" "7.17055" "7.56042" "6.65901" "7.87636" "7.43377" "7.06616" "8.16994" "7.65137" "7.40439" "7.36886" "6.64076" "7.39513" "7.85958" "7.29314" "7.26961" "7.87473" "7.39333" "8.20113" "7.80066" "7.49097" "6.90846" "7.38921" "7.30793" "8.03383" "7.58162" "6.9198" "7.19499" "6.57697" "7.77624" "7.12286" "7.16324" "7.44636" "7.40833" "7.84338" "7.32139" "7.43872" "6.89797" "7.8062" "6.65615" "8.04141" "7.45028" "7.61491" "7.28867" "6.99075" "7.27059" "7.75808"
"6505" "5.85179" "5.99154" "6.60108" "6.25946" "6.14719" "6.23474" "6.15639" "6.18094" "6.30685" "6.06135" "6.17931" "6.60222" "5.90755" "6.39518" "6.27016" "5.84637" "6.445" "6.02347" "5.86978" "6.17765" "6.10211" "5.91447" "6.41236" "6.21421" "6.54793" "5.88994" "6.10667" "6.14664" "6.20426" "6.06473" "6.13626" "5.80426" "6.14267" "6.01062" "6.67601" "6.59757" "5.92502" "5.69471" "6.34743" "6.11884" "6.35908" "6.44929" "5.98585" "6.07245" "6.21994" "5.9315" "5.86478" "6.29249" "6.19427" "6.04714" "6.37211" "6.21119" "6.09802" "6.00301" "6.03884" "6.02057" "6.32272" "6.45998" "6.07242" "5.94756" "6.00249" "6.4195" "6.14084" "5.93632" "6.57962" "5.99415" "6.13123" "6.43214" "6.02169" "6.29832" "6.25532" "5.88643" "6.40651" "6.18591" "5.91657" "6.37851" "6.44752" "5.73861" "6.2355" "5.89559" "6.21597" "5.97459" "6.29695" "5.84576" "6.22087" "6.13737" "6.26475" "6.3411" "6.50138" "5.98821" "6.14351" "6.03476" "6.3074" "5.9794" "6.23533" "5.96131" "6.26712" "6.07015" "6.22159" "6.34917" "6.04068" "5.96528" "6.27596" "6.34377" "6.10314" "6.03512" "6.19164" "6.06962"
"6509" "5.56902" "5.8102" "4.67851" "4.66802" "5.03816" "5.51165" "5.0624" "4.92483" "5.12984" "5.00672" "5.4298" "4.93601" "4.82766" "4.79375" "5.12092" "5.46789" "5.04992" "5.00495" "5.151" "5.18729" "5.25137" "5.26497" "5.28972" "4.57995" "5.10679" "5.31188" "5.4436" "5.35845" "4.71723" "4.61716" "4.69342" "5.22994" "5.10464" "6.22832" "4.7456" "5.01529" "5.27631" "5.42196" "5.46473" "5.00704" "4.96084" "5.15044" "5.41624" "5.34524" "5.77426" "4.79645" "5.15471" "4.8927" "5.27515" "5.44136" "5.66874" "5.04487" "4.97739" "5.13095" "5.64466" "5.9424" "4.83314" "4.83645" "5.10464" "5.26531" "5.39625" "5.24267" "4.89176" "5.11839" "4.84456" "5.34909" "4.62026" "5.08268" "5.07006" "5.4799" "5.65101" "4.8198" "4.77889" "5.21316" "4.79484" "5.23856" "5.68014" "5.25683" "4.96372" "5.42349" "5.52981" "5.41878" "5.33422" "5.05482" "4.89852" "5.1608" "5.44121" "4.75104" "4.45683" "5.11578" "5.06789" "4.8654" "5.21685" "4.64357" "4.9233" "5.12085" "4.68369" "5.52038" "5.01815" "4.41476" "5.01136" "4.92623" "5.12424" "5.30964" "4.83267" "4.66369" "5.01936" "4.94912"
"6514" "4.85716" "5.16575" "5.58804" "5.40009" "5.1275" "5.31011" "5.35539" "4.99125" "5.42079" "5.09077" "5.65581" "5.67082" "4.66722" "5.34641" "5.27775" "4.87537" "5.56167" "5.13111" "5.02404" "5.99693" "4.82432" "4.93427" "5.47013" "5.24244" "5.41526" "4.82496" "5.11835" "5.39785" "4.86343" "5.0499" "5.6665" "4.89042" "5.09642" "4.83556" "5.41826" "5.49335" "4.71128" "4.69878" "5.83734" "5.12216" "5.10562" "5.49132" "4.73637" "5.1045" "5.61976" "4.80734" "4.99702" "5.51663" "5.34165" "5.06402" "5.07571" "5.54051" "5.59076" "5.01163" "5.03857" "4.82046" "5.85279" "5.49654" "5.55734" "4.63424" "5.28567" "5.404" "5.22368" "5.08385" "5.57369" "4.93816" "4.98717" "5.65203" "5.07897" "4.98905" "5.32725" "5.03986" "5.31869" "5.24683" "4.85041" "5.11845" "5.41581" "4.81121" "4.91751" "4.92226" "5.15506" "5.22492" "5.48324" "4.8823" "5.25815" "5.07149" "5.11257" "5.41844" "5.33981" "5.60502" "4.89968" "5.08942" "5.08722" "4.97911" "5.19864" "4.87858" "5.28656" "4.71807" "5.47424" "5.15159" "5.56629" "4.78123" "5.53409" "5.08441" "4.94733" "5.06149" "5.55938" "4.98794"
"6517" "7.22598" "7.06496" "7.03473" "7.56637" "7.37537" "7.228" "7.22268" "7.2465" "7.59676" "6.99231" "7.17318" "7.2741" "7.14168" "7.4684" "7.3093" "7.22795" "7.12996" "7.00949" "7.31954" "7.59397" "7.38582" "7.2836" "7.20937" "6.90874" "7.46808" "7.69535" "7.24592" "7.35879" "7.18013" "7.11012" "7.33026" "7.32935" "7.23491" "6.87104" "7.13187" "6.98035" "7.51278" "7.12406" "7.23985" "7.16619" "7.39755" "7.34149" "7.19753" "7.19416" "7.14617" "7.20044" "7.04759" "7.43004" "7.5814" "7.17721" "7.34875" "7.24567" "7.45565" "7.21417" "7.28305" "6.73973" "7.30727" "7.037" "7.49892" "7.81264" "7.11406" "7.32367" "7.37267" "7.23676" "7.26642" "7.35782" "7.2493" "7.48876" "7.68246" "6.94695" "7.29371" "7.23168" "7.28938" "7.37195" "7.5121" "7.11631" "7.26103" "7.32931" "7.61608" "7.59358" "7.35821" "7.33174" "7.32863" "6.98222" "7.58961" "7.21041" "6.9307" "7.07692" "6.9524" "7.17578" "7.79057" "7.0744" "7.23857" "7.1373" "7.45459" "7.47638" "6.93812" "6.67644" "7.35646" "7.27185" "7.38948" "7.62545" "7.05423" "7.23886" "7.05228" "7.08406" "7.30932" "7.39227"
"6595" "4.20823" "4.33789" "4.76397" "4.71875" "4.28013" "4.48886" "4.49758" "4.51357" "4.32127" "4.68163" "4.23608" "4.57893" "4.26805" "4.49697" "4.39945" "4.35424" "4.41684" "4.62049" "3.94307" "4.63784" "4.26472" "4.2778" "4.3718" "4.48966" "4.43605" "4.32734" "4.33775" "4.47805" "4.33941" "4.61704" "4.34414" "4.19595" "4.54849" "4.26557" "4.59391" "4.56535" "4.40918" "4.05215" "4.83598" "4.6947" "4.49078" "4.5727" "4.32278" "4.38101" "4.59744" "4.25921" "4.3971" "4.4766" "4.17735" "4.42764" "4.40183" "4.55448" "4.40235" "4.43627" "4.51585" "4.49943" "4.45351" "4.41579" "4.35033" "4.53853" "4.40842" "4.37523" "4.43929" "4.3754" "4.56041" "4.15055" "4.39616" "4.3816" "4.15445" "4.40468" "4.32266" "4.27041" "4.43347" "4.46245" "4.18836" "4.57024" "4.39345" "4.22025" "4.34054" "4.26141" "4.47013" "4.52311" "4.45458" "4.32381" "4.42536" "4.2771" "4.24596" "4.50379" "4.35435" "4.68732" "4.16591" "4.49616" "4.54441" "4.32625" "4.22926" "4.10858" "4.40803" "4.31592" "4.45776" "4.37501" "4.41684" "4.09819" "4.68588" "4.42269" "4.26795" "4.37565" "4.25288" "4.35514"
"6598" "7.06567" "7.57129" "6.44848" "7.61545" "7.63567" "6.15895" "6.55464" "8.1594" "7.13472" "6.26582" "7.67243" "6.3934" "8.58331" "7.64201" "7.96393" "6.89975" "6.8446" "6.51092" "8.26359" "7.08776" "8.99863" "6.9194" "7.31425" "6.87298" "7.31754" "8.13856" "6.50041" "7.25514" "6.38184" "8.14548" "7.25314" "8.37818" "6.30787" "8.01186" "6.29978" "7.15898" "7.8806" "7.06782" "6.56183" "6.25929" "7.66041" "7.11464" "8.65126" "6.44753" "7.36794" "6.89506" "8.44223" "7.10445" "7.36857" "6.42624" "7.157" "7.92817" "7.34734" "8.69924" "6.76946" "7.63668" "6.31078" "7.47758" "7.31232" "8.22799" "6.42017" "6.83527" "6.29087" "7.81701" "6.91224" "6.60647" "6.31353" "7.32869" "7.98669" "6.20751" "7.10456" "6.1885" "7.49613" "7.17105" "8.1539" "6.00088" "7.32365" "6.26686" "7.79977" "8.16819" "6.44748" "7.15272" "5.73164" "7.41713" "7.16543" "8.33044" "7.27767" "7.26101" "6.74895" "7.45595" "7.76816" "6.66045" "7.48441" "6.95323" "7.84317" "8.27819" "6.75639" "7.6358" "6.6872" "7.71075" "7.2069" "8.49888" "6.93915" "7.63329" "6.69609" "7.63269" "7.54397" "8.29262"
"6686" "3.19743" "3.35283" "3.56413" "3.53825" "3.43348" "3.32007" "3.32007" "3.28638" "3.38106" "3.45614" "3.2681" "3.42118" "3.17782" "3.35687" "3.30316" "3.01577" "3.33058" "3.29521" "3.20369" "3.55496" "3.33462" "3.25419" "3.25086" "3.4332" "3.42668" "3.30465" "3.2955" "3.56556" "3.38495" "3.17268" "3.246" "3.27165" "3.45578" "3.1868" "3.45126" "3.28843" "3.48932" "3.21063" "3.60278" "3.3341" "3.54423" "3.45164" "3.35506" "3.15051" "3.40837" "3.34676" "3.19841" "3.39804" "3.27452" "3.311" "3.17763" "3.71968" "3.41601" "3.22935" "3.14218" "3.26611" "3.61017" "3.25782" "3.14111" "3.06692" "3.28211" "3.2884" "3.46717" "3.39892" "3.48356" "3.30426" "3.3061" "3.28181" "3.12428" "3.00254" "3.2361" "3.23693" "3.55361" "3.35536" "3.23283" "3.39742" "3.33528" "3.01986" "3.21067" "3.4521" "3.42618" "3.39729" "2.97094" "3.37021" "3.35487" "3.26044" "3.35181" "3.35776" "3.39237" "3.27884" "3.30358" "3.31488" "3.46139" "3.34521" "3.30998" "3.19087" "3.34297" "3.19491" "3.21188" "3.36531" "3.36704" "3.19462" "3.32908" "3.34176" "3.27071" "3.199" "3.41485" "3.2987"
"6741" "6.61744" "7.30305" "6.42077" "6.991" "6.37101" "6.43176" "6.53889" "6.62303" "6.32163" "6.468" "6.6973" "6.48992" "6.98048" "6.91179" "6.58231" "6.6244" "6.45036" "6.34206" "6.45505" "6.89913" "6.72993" "6.48349" "6.57194" "6.40854" "6.50095" "6.77677" "6.65896" "6.74978" "6.53041" "6.86205" "6.48694" "6.43263" "6.32914" "6.34213" "6.3136" "7.13183" "6.79461" "6.45599" "6.64941" "6.6977" "6.79256" "6.50485" "6.5568" "6.524" "6.71431" "6.34975" "6.52848" "6.63473" "6.80487" "6.18969" "6.53251" "7.08818" "6.98309" "6.59976" "6.45373" "6.02533" "6.5548" "6.80423" "7.14247" "6.99524" "6.59439" "6.60928" "6.69413" "6.81488" "6.56974" "6.70536" "6.23699" "6.76169" "6.73617" "6.40537" "6.58881" "6.50632" "6.58819" "6.86122" "6.74189" "6.70522" "6.50216" "6.45639" "7.10107" "6.54129" "6.7266" "6.60123" "6.35003" "6.55228" "6.65554" "6.41292" "6.79094" "6.67267" "6.34654" "6.85532" "6.63054" "6.65036" "6.81226" "6.7613" "7.14149" "6.6644" "6.67526" "6.63334" "6.64702" "7.11642" "6.84184" "6.82799" "6.76176" "6.78169" "6.76362" "6.80524" "6.9155" "6.84754"
"6837" "4.74634" "5.08899" "5.28983" "4.8251" "5.04439" "5.20856" "5.05746" "4.49681" "4.86305" "5.46645" "5.03986" "5.32843" "4.5864" "4.79277" "5.16187" "4.73522" "5.18907" "4.95759" "4.45601" "4.85245" "4.88855" "5.07834" "4.88041" "4.98046" "4.88855" "4.7008" "4.8183" "4.80765" "4.81894" "4.84077" "4.66685" "4.98062" "5.38818" "4.87516" "5.14516" "5.12809" "4.51181" "4.91974" "5.14686" "5.05758" "4.70115" "4.74886" "4.7595" "4.66464" "5.07399" "4.87322" "4.94402" "4.73804" "4.99584" "4.9144" "4.83374" "4.58889" "4.66589" "4.69851" "5.06519" "5.23802" "5.1234" "4.69563" "4.66061" "4.67167" "4.73684" "4.82867" "4.69299" "4.58107" "4.85194" "4.82244" "4.89842" "4.75888" "4.66958" "4.90615" "5.05631" "4.89528" "4.84282" "4.8149" "5.22165" "4.99742" "4.86333" "4.97304" "4.83495" "4.81612" "4.79195" "5.02068" "4.76817" "4.77767" "4.79091" "4.66125" "5.26396" "5.25757" "5.36822" "4.77516" "4.89905" "5.18925" "5.17602" "4.89225" "4.87382" "4.79439" "4.91485" "5.22111" "5.44366" "5.05212" "4.6785" "4.76574" "4.93172" "5.59894" "5.15744" "4.57289" "4.75857" "4.71293"
"6838" "5.78982" "5.38212" "5.22859" "5.90754" "5.40099" "5.95307" "5.54897" "5.4583" "5.74672" "5.58619" "5.79479" "5.71159" "5.10768" "5.47362" "5.35873" "5.3906" "5.78979" "5.07705" "5.02824" "5.32506" "5.22009" "5.63908" "5.67521" "4.92013" "5.67429" "5.31517" "5.23517" "5.31873" "5.08562" "5.5244" "5.12798" "5.07486" "5.67675" "5.23996" "5.41647" "5.32109" "5.10041" "5.79678" "5.75053" "5.05169" "5.41119" "5.61517" "5.05262" "5.07996" "5.47185" "5.24519" "5.0496" "5.20659" "5.12869" "5.38751" "5.30123" "5.64077" "5.46893" "4.81549" "5.03751" "5.57888" "5.32412" "4.91604" "5.54586" "5.16375" "5.06335" "5.37761" "5.27486" "5.10088" "5.51091" "5.4383" "5.28132" "5.56655" "4.92159" "5.26213" "5.272" "5.18539" "5.32905" "5.31939" "5.95551" "5.37883" "5.18775" "4.73182" "5.17489" "5.35066" "5.22195" "5.37761" "4.96575" "5.12443" "5.60142" "4.76926" "6.09038" "6.0008" "5.47868" "5.25478" "5.68057" "5.32813" "6.17887" "5.76794" "5.48454" "4.92778" "5.30342" "5.66843" "5.801" "5.40133" "5.48189" "5.86792" "5.93711" "6.32294" "5.45014" "5.34887" "5.70943" "5.23408"
"6847" "6.29397" "6.60957" "6.79952" "6.4694" "6.53928" "6.58479" "6.70314" "6.12753" "6.5178" "6.4502" "6.59939" "6.72063" "6.03914" "6.38877" "6.60302" "6.23959" "6.76982" "6.12348" "5.94919" "6.49138" "5.90685" "6.1623" "6.28393" "6.32563" "6.3436" "6.1208" "6.40613" "6.45735" "6.39746" "6.22971" "6.53116" "5.95625" "6.48486" "6.26688" "6.63068" "6.62362" "6.15033" "6.20444" "6.74233" "6.48319" "6.24802" "6.57967" "6.08779" "6.13953" "6.38292" "6.20669" "6.02381" "6.33262" "6.42391" "6.39124" "6.40304" "6.90711" "6.50173" "6.06407" "6.3011" "6.48779" "6.68525" "6.31959" "6.80024" "6.06992" "6.16375" "6.5085" "6.41063" "6.29999" "6.33609" "6.05425" "6.52894" "6.38029" "6.06246" "6.39293" "6.44906" "6.32807" "6.30111" "6.43304" "6.03965" "6.32367" "6.48486" "6.244" "6.11603" "5.95679" "6.24759" "6.35769" "6.37485" "6.37883" "6.37195" "6.09041" "6.33156" "6.55791" "6.42689" "6.55249" "6.10543" "6.26608" "6.5932" "6.15532" "6.21989" "6.24884" "6.43559" "5.90819" "6.56696" "6.22809" "6.76407" "6.06477" "6.5001" "6.16986" "6.13104" "6.50912" "6.61898" "6.12765"
"6863" "9.51335" "10.0747" "8.49333" "8.91193" "9.30795" "9.41335" "8.97454" "9.55625" "8.76192" "9.22803" "9.5011" "8.34205" "9.48964" "9.1022" "9.34701" "9.79312" "8.89878" "9.17104" "9.70772" "8.93911" "9.56829" "9.59578" "9.49326" "9.17323" "8.82235" "9.65921" "9.73521" "9.56838" "8.9234" "9.19764" "8.97443" "9.51527" "9.07601" "9.91254" "8.66622" "8.9861" "9.65456" "9.6688" "9.16606" "9.15353" "9.41042" "9.02037" "9.59118" "9.768" "9.96686" "9.10939" "9.55822" "8.98302" "9.51657" "9.59646" "9.51455" "9.61635" "8.92453" "9.48533" "9.49941" "10.0849" "8.61992" "9.03772" "9.26288" "9.54857" "9.72567" "9.58581" "8.95914" "9.65115" "8.86839" "9.83683" "8.99406" "8.97368" "9.67233" "9.53054" "9.34663" "9.03543" "9.54891" "9.0103" "9.41042" "9.50173" "9.48465" "9.46766" "9.41048" "9.65477" "9.49042" "9.43346" "8.98541" "9.75071" "9.13017" "9.50903" "9.20916" "9.13348" "8.59187" "8.86703" "9.13076" "9.15757" "9.02392" "8.73353" "8.97666" "9.59177" "8.91471" "9.66215" "8.30703" "9.22484" "8.90341" "9.51091" "8.87708" "9.10199" "8.73267" "8.98643" "8.87167" "9.15207"
"6877" "4.08908" "4.12648" "4.36207" "4.64848" "4.41032" "4.27855" "4.46796" "4.4457" "4.32055" "4.51531" "4.70653" "4.48815" "4.32361" "4.4884" "4.33472" "4.12708" "4.58966" "4.48683" "4.25391" "4.66295" "4.44763" "4.12589" "4.65382" "4.33949" "4.3337" "4.24916" "4.00172" "4.15626" "4.62917" "4.67887" "4.27823" "4.41447" "4.29711" "3.91172" "4.42578" "4.25482" "4.23369" "4.29802" "4.73322" "4.51354" "4.68984" "4.39611" "4.05896" "4.23835" "4.2534" "4.39068" "4.18007" "4.31681" "4.46823" "4.35943" "4.38054" "5.20812" "4.29423" "4.41035" "4.04346" "4.24869" "4.31563" "4.39206" "4.33427" "4.22541" "3.85264" "4.54441" "4.57672" "4.22696" "4.6253" "4.26533" "4.35812" "4.62447" "4.15003" "4.18421" "4.47394" "4.05348" "4.7184" "4.43635" "4.49507" "4.42406" "4.17351" "4.04783" "4.19109" "4.12501" "4.29359" "4.47221" "4.19189" "4.11209" "4.60117" "4.23549" "4.17614" "4.86863" "4.17522" "4.36556" "4.17084" "4.38342" "4.58738" "4.16845" "4.39712" "4.1079" "4.2454" "4.33568" "4.56176" "3.97105" "4.69543" "4.06602" "4.25432" "4.0772" "3.94757" "4.49499" "4.35033" "4.20678"
"6879" "6.08363" "5.84275" "6.56538" "5.76437" "6.04807" "6.25084" "6.3333" "6.12691" "6.10153" "6.08218" "5.40742" "6.63745" "5.57815" "6.02112" "5.98989" "5.91602" "6.18102" "6.44689" "5.98907" "6.24038" "6.23561" "6.10552" "6.1039" "5.93174" "6.09185" "6.10504" "5.9279" "5.93703" "6.17346" "5.86722" "6.01217" "5.74047" "6.28039" "5.71103" "6.16272" "6.38336" "5.79926" "5.82197" "6.56957" "5.83093" "5.94845" "6.24995" "5.72212" "6.15323" "5.92705" "5.71876" "5.80642" "6.14165" "6.20087" "6.25065" "6.21813" "6.1353" "6.1357" "5.86094" "6.01271" "5.91048" "6.35382" "6.28828" "5.98077" "5.8462" "6.04807" "6.20998" "6.38568" "5.92948" "6.28821" "5.71044" "5.96568" "6.26057" "5.82721" "6.23631" "6.03959" "6.04309" "5.93275" "6.25764" "5.95761" "6.20169" "6.04807" "6.08783" "5.88443" "5.88871" "6.10911" "5.9503" "6.16239" "6.0639" "6.19291" "5.85104" "6.01538" "6.18342" "6.15294" "6.06957" "5.98815" "6.32683" "5.93592" "6.04135" "6.24586" "5.88681" "6.02135" "5.68251" "6.17533" "6.05334" "6.1902" "5.93956" "6.34314" "6.05749" "6.03598" "5.83185" "6.10214" "5.84607"
"6907" "6.86941" "6.14464" "7.06852" "6.93981" "6.37304" "7.00522" "6.75197" "7.12471" "6.63257" "7.1785" "5.77269" "6.76299" "6.43008" "6.95762" "6.3636" "6.81863" "6.13115" "6.70704" "6.88993" "6.6425" "6.37323" "6.87386" "6.33107" "7.38073" "6.9354" "6.28885" "6.93082" "6.43957" "6.86552" "7.18607" "7.05356" "6.56885" "7.24923" "6.37924" "6.92156" "7.40052" "5.9634" "6.81189" "6.16544" "6.66311" "7.02881" "6.89313" "6.43324" "6.87487" "6.41942" "6.95103" "7.29359" "6.75333" "6.0786" "6.98569" "6.14963" "7.14051" "6.78461" "6.66863" "7.11063" "6.366" "6.86319" "6.75661" "6.94946" "6.18976" "7.08416" "6.17286" "6.53354" "6.63082" "6.77505" "6.75748" "7.16996" "6.75604" "5.99131" "6.85677" "5.86526" "6.69491" "7.07741" "6.7268" "6.0605" "7.35418" "6.16635" "6.75421" "6.97982" "6.14062" "6.90199" "5.90375" "6.9252" "6.75936" "6.6956" "6.07849" "6.6315" "5.95847" "6.96967" "6.31181" "5.97332" "6.97892" "5.74895" "6.68963" "6.63378" "6.05754" "6.76005" "6.11292" "6.68509" "6.26442" "6.31473" "5.98265" "6.73216" "5.88807" "6.73919" "6.72366" "6.75583" "6.31265"
"6948" "4.9937" "5.10508" "4.79633" "4.82044" "5.09347" "4.95019" "5.11073" "5.17619" "5.2962" "5.2122" "5.29469" "4.98105" "4.91739" "5.22746" "5.03766" "4.84346" "5.09057" "5.17823" "5.08796" "5.10086" "5.06627" "4.98065" "5.07962" "4.8354" "5.24816" "5.02885" "4.88469" "5.1947" "5.05343" "5.4082" "5.13715" "5.1414" "5.07784" "4.75345" "5.21422" "4.85204" "4.92817" "5.03583" "5.33214" "5.19448" "5.1171" "5.33292" "5.00786" "4.99559" "4.97136" "4.88863" "5.14271" "5.10783" "4.99691" "4.9849" "4.89798" "5.60223" "4.75732" "5.30074" "4.9714" "4.91773" "4.77802" "4.91802" "4.89216" "5.07675" "5.09901" "5.00575" "5.18407" "5.0061" "5.2387" "4.95212" "4.88148" "5.24778" "4.97501" "4.95453" "5.0814" "4.93885" "5.02861" "5.0042" "4.95784" "5.07392" "5.07475" "4.99602" "5.12197" "4.88726" "5.35805" "4.929" "5.02737" "5.24259" "5.3028" "4.98032" "4.83257" "5.14064" "5.21091" "5.43175" "4.91522" "4.83535" "5.24808" "5.1705" "4.85034" "4.90796" "5.20483" "4.93344" "5.05537" "5.06499" "5.19386" "4.79639" "5.16733" "5.10987" "5.03856" "4.96721" "4.76221" "4.8654"
"6964" "5.65378" "6.05222" "6.47906" "5.83058" "5.80695" "6.1243" "6.12802" "6.05322" "5.9453" "6.21795" "5.96877" "6.36426" "5.76231" "6.00834" "5.66617" "5.67923" "6.00518" "6.10414" "5.35122" "6.05793" "5.51077" "5.69051" "6.0149" "6.09121" "5.92708" "5.63298" "6.06453" "6.01051" "6.13836" "5.96824" "6.07098" "5.71856" "5.99849" "5.37001" "6.12345" "6.04527" "5.45487" "5.45479" "5.98131" "6.08333" "5.68215" "6.12663" "5.6155" "5.64372" "5.8502" "5.75365" "5.5804" "5.9213" "5.85194" "6.01655" "5.87514" "6.11" "6.05562" "5.52081" "6.29729" "5.7591" "6.03865" "5.75774" "6.00256" "5.62615" "5.8002" "5.96838" "6.13849" "5.7722" "6.29263" "5.90636" "5.98637" "6.02256" "5.42422" "6.01041" "5.75316" "5.82249" "5.99296" "5.86446" "5.45449" "6.06433" "5.99859" "5.54598" "5.86284" "5.58733" "6.00935" "5.82128" "6.24106" "5.92505" "5.90461" "5.49131" "5.86266" "5.94588" "6.24526" "6.06941" "5.68263" "6.17572" "5.83245" "5.92004" "5.74485" "5.53055" "6.22943" "5.70886" "6.23609" "5.69191" "5.97227" "5.45668" "5.92713" "5.6496" "6.13352" "6.00918" "6.02673" "5.52376"
