Date_Submittted,Analyte_(Lead),Result_Lead_(PPB),Analyte_(Copper),Result_Copper_(PPB),Address,City,Zip_Code,Site_Code,Service_Line_Material,Sample_Location,Sentinel_Group_Number
3/16/2016,Lead,0,Copper,0,POLLY ST   ,FLINT,48505,FS0001,Copper,BATHROOM,3
3/17/2016,Lead,0,Copper,0,E CARPENTER RD  ,FLINT,48505,FS0002,Copper,KITCHEN WITH FILTER,3
3/16/2016,Lead,0,Copper,0,E HOLBROOK AVE  ,FLINT,48505,FS0005,Copper,,3
3/18/2016,Lead,0,Copper,0,E LYNDON AVE  ,FLINT,48505,FS0013,Copper,BATHROOM,3
3/16/2016,Lead,0,Copper,0,INDUSTRIAL AVE   ,FLINT,48505,FS0014,Copper,BATHROOM,3
3/16/2016,Lead,0,Copper,0,BIRCHCREST DR   ,FLINT,48504,FS0027,Copper,KITCHEN,3
3/17/2016,Lead,0,Copper,200,CLIO RD   ,FLINT,48504,FS0029,Copper,BATHROOM,3
3/18/2016,Lead,0,Copper,90,KELLAR AVE   ,FLINT,48504,FS0030,Copper,KITCHEN,3
3/20/2016,Lead,0,Copper,0,W RANKIN ST  ,FLINT,48505,FS0037,Copper,KITCHEN,3
3/17/2016,Lead,0,Copper,0,W GENESEE ST  ,FLINT,48504,FS0040,Copper,KITCHEN,3
3/16/2016,Lead,0,Copper,0,W JAMIESON ST  ,FLINT,48505,FS0041,Copper,KITCHEN,3
3/18/2016,Lead,0,Copper,60,WYOMING AVE   ,FLINT,48506,FS0055,Copper,KITCHEN,3
3/16/2016,Lead,0,Copper,0,CRAIG DR   ,FLINT,48506,FS0061,Copper,KITCHEN,3
3/16/2016,Lead,0,Copper,0,N CENTER RD  ,FLINT,48506,FS0077,Copper,KITCHEN,3
3/16/2016,Lead,0,Copper,80,MALLERY ST   ,FLINT,48504,FS0097,Copper,BATHROOM,3
3/16/2016,Lead,0,Copper,0,W KEARSLEY ST  ,FLINT,48532,FS0110,Copper,KITCHEN,3
3/16/2016,Lead,0,Copper,80,KIRK AVE   ,FLINT,48503,FS0122,Copper,KITCHEN,3
3/18/2016,Lead,0,Copper,0,E LORADO AVE  ,FLINT,48505,FS0147,Copper,,3
3/16/2016,Lead,0,Copper,0,E PARKWAY AVE  ,FLINT,48505,FS0152,Copper,KITCHEN,3
3/16/2016,Lead,0,Copper,0,W BUNDY AVE  ,FLINT,48505,FS0155,Copper,KITCHEN,3
3/16/2016,Lead,0,Copper,80,CHANDLER AVE   ,FLINT,48503,FS0165,Copper,,3
3/17/2016,Lead,0,Copper,0,LYNN CT   ,FLINT,48503,FS0167,Copper,BATHROOM,3
3/16/2016,Lead,0,Copper,90,WARNER AVE   ,FLINT,48503,FS0168,Copper,KITCHEN,3
3/18/2016,Lead,0,Copper,0,S CUMBERLAND ST  ,FLINT,48503,FS0180,Copper,BATHROOM,3
3/16/2016,Lead,0,Copper,80,COMMONWEALTH AVE   ,FLINT,48503,FS0181,Copper,KITCHEN,3
3/16/2016,Lead,0,Copper,100,GIBSON ST   ,FLINT,48503,FS0189,Copper,,3
3/17/2016,Lead,0,Copper,160,ZIMMERMAN ST   ,FLINT,48532,FS0253,Copper,,3
3/16/2016,Lead,0,Copper,0,KNAPP AVE   ,FLINT,48503,FS0255,Copper,KITCHEN,3
3/16/2016,Lead,0,Copper,60,MILLER RD   ,FLINT,48503,FS0265,Copper,,3
3/16/2016,Lead,0,Copper,0,MAXINE ST   ,FLINT,48503,FS0283,Copper,KITCHEN,3
3/17/2016,Lead,0,Copper,0,E COURT ST  ,FLINT,48503,FS0305,Copper,KITCHEN,3
3/16/2016,Lead,0,Copper,0,KELLAR AVE   ,FLINT,48504,FS0335,Copper,,3
3/17/2016,Lead,0,Copper,0,WINONA ST   ,FLINT,48504,FS0337,Copper,,3
3/18/2016,Lead,0,Copper,0,OKLAHOMA AVE   ,FLINT,48506,FS0344,Copper,,3
3/17/2016,Lead,0,Copper,50,CHURCHILL AVE   ,FLINT,48506,FS0353,Copper,,3
3/18/2016,Lead,0,Copper,150,CLEMENT ST   ,FLINT,48504,FS0355,Copper,KITCHEN,3
3/16/2016,Lead,0,Copper,70,SLOAN ST   ,FLINT,48504,FS0363,Copper,KITCHEN,3
3/16/2016,Lead,0,Copper,120,BEECHER RD   ,FLINT,48503,FS0373,Copper,KITCHEN,3
3/16/2016,Lead,0,Copper,0,PONTIAC ST   ,FLINT,48503,FS0377,Copper,KITCHEN,3
3/16/2016,Lead,0,Copper,80,PROSPECT ST   ,FLINT,48504,FS0403,Copper,KITCHEN,3
